default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
0,2,6,2,1,1169,2,2,4,1,0,4,2,67,0,1,2,1,1,1,1
1,3,48,1,1,5951,1,1,2,2,0,2,2,22,0,1,1,1,1,0,1
0,1,12,2,6,2096,1,3,2,1,0,3,2,49,0,1,1,2,2,0,1
0,2,42,1,3,7882,1,3,2,1,1,4,3,45,0,3,1,1,2,0,1
1,2,24,3,2,4870,1,1,3,1,0,4,4,53,0,3,2,1,2,0,1
0,1,36,1,6,9055,2,1,2,1,0,4,4,35,0,3,1,2,2,1,1
0,1,24,1,3,2835,4,2,3,1,0,4,3,53,0,1,1,1,1,0,1
0,3,36,1,4,6948,1,1,2,1,0,2,1,35,0,2,1,3,1,1,1
0,1,12,1,1,3059,5,3,2,4,0,4,2,61,0,1,1,2,1,0,1
1,3,30,2,2,5234,1,5,4,3,0,2,1,28,0,1,2,3,1,0,1
1,3,12,1,2,1295,1,4,3,2,0,1,1,25,0,2,1,1,1,0,1
1,2,48,1,5,4308,1,4,3,2,0,4,3,24,0,2,1,1,1,0,1
0,3,12,1,1,1567,1,1,1,2,0,1,1,22,0,1,1,1,1,1,1
1,2,24,2,2,1199,1,2,4,1,0,4,1,60,0,1,2,2,1,0,1
0,2,15,1,2,1403,1,1,2,2,0,4,1,28,0,2,1,1,1,0,1
1,2,24,1,1,1282,3,1,4,2,0,2,1,32,0,1,1,2,1,0,1
0,1,24,2,1,2424,2,2,4,1,0,4,3,53,0,1,2,1,1,0,1
0,2,30,5,5,8072,2,4,2,1,0,3,1,25,1,1,3,1,1,0,1
1,3,24,1,4,12579,1,2,4,2,0,2,4,44,0,3,1,3,1,1,1
0,1,24,1,1,3430,4,2,3,1,0,2,1,31,0,1,1,1,2,1,1
0,1,9,2,2,2134,1,1,4,1,0,4,1,48,0,1,3,1,1,1,1
0,2,6,1,1,2647,4,1,2,1,0,3,2,44,0,2,1,1,2,0,1
0,2,10,2,2,2241,1,4,1,1,0,3,2,48,0,2,2,2,2,0,0
0,3,12,2,4,1804,3,4,3,1,0,4,3,44,0,1,1,1,1,0,1
0,1,10,2,3,2069,2,1,2,3,0,1,1,26,0,1,2,1,1,0,0
0,2,6,1,3,1374,1,1,1,1,0,2,2,36,1,1,1,2,1,1,1
0,1,6,5,1,426,1,2,4,3,0,4,1,39,0,1,1,2,1,0,1
0,4,12,4,1,409,5,1,3,2,0,3,2,42,0,2,2,1,1,0,1
0,3,7,1,1,2415,1,1,3,1,1,2,2,34,0,1,1,1,1,0,1
1,2,60,3,5,6836,1,2,3,1,0,4,4,63,0,1,2,1,1,1,1
0,3,18,1,5,1913,5,4,3,3,0,3,2,36,1,1,1,1,1,1,1
0,2,24,1,3,4020,1,1,2,1,0,2,1,27,2,1,1,1,1,0,1
0,3,18,1,2,5866,3,1,2,1,0,2,1,30,0,1,2,1,1,1,1
0,1,12,2,5,1264,2,2,4,1,0,4,4,57,0,2,1,2,1,0,1
0,4,12,1,3,1474,1,4,4,2,0,1,3,33,1,1,1,3,1,1,1
1,3,45,2,1,4746,1,4,4,1,0,2,3,25,0,1,2,2,1,0,1
0,1,48,2,6,6110,1,1,1,1,0,3,4,31,1,3,1,1,1,1,1
1,4,18,1,1,2100,1,1,4,1,2,2,2,37,2,1,1,1,1,0,1
0,4,10,1,8,1225,1,1,2,1,0,2,1,37,0,1,1,1,1,1,1
0,3,9,1,1,458,1,1,4,1,0,3,2,24,0,1,1,1,1,0,1
0,1,30,1,1,2333,4,2,4,1,0,2,1,30,1,1,1,3,1,0,1
0,3,12,1,1,1158,4,1,3,4,0,1,1,26,0,1,1,1,1,1,1
0,3,18,3,7,6204,1,1,2,1,0,4,2,44,0,1,1,2,2,1,1
0,2,30,2,4,6187,3,3,1,3,0,4,1,24,0,2,2,1,1,0,1
1,2,48,2,4,6143,1,2,4,2,0,4,4,58,2,3,2,2,1,0,1
0,1,11,2,2,1393,1,4,4,2,0,4,1,35,0,1,2,3,1,0,1
0,1,36,1,1,2299,4,2,4,1,0,4,1,39,0,1,1,1,1,0,1
0,2,6,1,4,1352,4,5,1,2,0,2,3,23,0,2,1,4,1,1,1
0,1,11,2,2,7228,1,1,1,1,0,4,3,39,0,1,2,2,1,0,1
0,1,12,1,1,2073,3,1,4,2,2,2,2,28,0,1,1,1,1,0,1
0,3,24,3,3,2333,2,4,4,1,0,2,3,29,1,1,1,2,1,0,1
0,3,27,3,4,5965,1,2,1,1,0,2,1,30,0,1,2,3,1,1,1
0,1,12,1,1,1262,1,1,3,1,0,2,1,25,0,1,1,1,1,0,1
0,1,18,1,4,3378,2,1,2,1,0,1,3,31,0,1,1,1,1,1,1
1,3,36,3,2,2225,1,2,4,1,0,4,4,57,1,3,2,1,1,1,1
0,1,6,4,2,783,2,1,1,1,1,2,2,26,2,1,1,2,2,0,1
1,3,12,1,1,6468,2,5,2,1,0,1,4,52,0,1,1,3,1,1,1
0,1,36,2,1,9566,1,1,2,2,0,2,1,31,2,1,2,1,1,0,1
0,4,18,1,2,1961,1,2,3,2,0,2,1,23,0,1,1,3,1,0,1
1,2,36,2,3,6229,1,4,4,2,2,4,4,23,0,2,2,2,1,1,1
0,3,9,1,5,1391,1,1,2,3,0,1,2,27,1,1,1,1,1,1,1
0,3,15,2,1,1537,2,2,4,1,1,4,2,50,0,1,2,1,1,1,1
1,3,36,5,5,1953,1,2,4,1,0,4,4,61,0,3,1,3,1,1,1
1,3,48,5,5,14421,1,1,2,1,0,2,1,25,0,1,1,1,1,1,1
0,1,24,1,1,3181,1,4,4,2,0,4,3,26,0,1,1,1,1,1,1
0,1,27,1,7,5190,2,2,4,1,0,4,3,48,0,1,4,1,2,1,1
0,1,12,1,1,2171,1,4,2,2,0,2,1,29,1,1,1,1,1,0,1
0,3,12,1,2,1007,5,1,4,3,0,1,2,22,0,1,1,1,1,0,1
1,1,36,1,6,1819,1,1,4,1,0,4,4,37,2,3,1,1,1,1,1
0,1,36,1,1,2394,2,1,4,2,0,4,1,25,0,1,1,1,1,0,1
0,1,36,1,4,8133,1,1,1,2,0,2,3,30,1,1,1,1,1,0,1
0,1,7,2,1,730,2,2,4,1,0,2,3,46,0,2,2,2,1,1,1
0,2,8,2,9,1164,1,2,3,1,0,4,4,51,1,3,2,3,2,1,1
0,3,42,2,5,5954,1,3,2,2,0,1,2,41,1,1,2,2,1,0,1
1,2,36,1,6,1977,2,2,4,1,0,4,4,40,0,1,1,3,1,1,1
0,2,12,2,4,1526,1,2,4,1,0,4,4,66,0,3,2,3,1,0,1
1,2,42,1,1,3965,1,4,4,1,0,3,1,34,0,1,1,1,1,0,1
0,3,11,3,1,4771,1,3,2,1,0,4,3,51,0,1,1,1,1,0,1
0,1,54,5,4,9436,2,1,2,1,0,2,3,39,0,1,1,2,2,0,1
0,3,30,1,3,3832,1,4,2,3,0,1,3,22,0,1,1,1,1,0,1
1,1,24,1,1,5943,2,4,1,2,0,1,1,44,0,1,2,1,1,1,1
0,1,15,1,1,1213,4,2,4,1,0,3,3,47,2,1,1,1,1,1,1
0,1,18,1,5,1568,3,1,3,2,0,4,3,24,0,2,1,2,1,0,1
0,2,24,1,9,1755,1,2,4,2,1,4,2,58,0,1,1,2,1,1,1
0,2,10,1,1,2315,1,2,3,1,0,4,2,52,0,1,1,2,1,0,1
0,1,12,2,5,1412,1,1,4,2,1,2,2,29,0,1,2,3,1,1,1
0,3,18,2,3,1295,1,4,4,2,0,1,3,27,0,1,2,1,1,0,1
1,3,36,1,6,12612,3,1,1,1,0,4,4,47,0,3,1,1,2,1,1
0,2,18,1,2,2249,3,3,4,1,0,3,1,30,0,1,1,3,2,1,1
1,2,12,5,7,1108,1,3,4,1,0,3,2,28,0,1,2,1,1,0,1
0,1,12,2,1,618,1,2,4,1,0,4,2,56,0,1,1,1,1,0,1
0,2,12,2,4,1409,1,2,4,1,0,3,2,54,0,1,1,1,1,0,1
1,1,12,2,1,797,2,2,4,2,0,3,3,33,1,1,1,2,2,0,1
0,4,24,2,3,3617,2,2,4,1,2,4,4,20,0,2,2,1,1,0,1
0,3,12,1,2,1318,5,2,4,1,0,4,2,54,0,1,1,1,1,1,1
1,3,54,5,5,15945,1,4,3,1,0,4,4,58,0,2,1,1,1,1,1
0,1,12,2,6,2012,2,3,4,2,0,2,1,61,0,1,1,1,1,0,1
0,3,18,1,5,2622,3,1,4,1,0,4,1,34,0,1,1,1,1,0,1
0,3,36,2,1,2337,1,2,4,1,0,4,2,36,0,1,1,1,1,0,1
0,3,20,3,4,7057,2,3,3,1,0,4,3,36,1,2,2,3,2,1,1
