default,account_check_status,credit_history,purpose,savings,present_emp_since,installment_as_income_perc,other_debtors,present_res_since,property,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker,sexo,estado_civil,rango_edad,rango_plazos_credito,rango_valor_credito
1,3,1,1,1,1,2,0,2,2,0,1,1,1,1,0,1,1,0,1,3,5
0,2,1,3,1,3,2,1,4,3,0,3,1,1,2,0,1,0,1,3,3,7
1,2,3,2,1,1,3,0,4,4,0,3,2,1,2,0,1,0,1,4,1,4
0,1,1,6,2,1,2,0,4,4,0,3,1,2,2,1,1,0,1,2,2,9
0,1,1,3,4,2,3,0,4,3,0,1,1,1,1,0,1,0,1,4,1,2
0,3,1,4,1,1,2,0,2,1,0,2,1,3,1,1,1,0,1,2,2,6
1,3,2,2,1,5,4,0,2,1,0,1,2,3,1,0,1,0,0,1,2,5
1,2,1,5,1,4,3,0,4,3,0,2,1,1,1,0,1,1,0,1,3,4
1,2,2,2,1,2,4,0,4,1,0,1,2,2,1,0,1,0,1,4,1,1
0,2,1,2,1,1,2,0,4,1,0,2,1,1,1,0,1,1,0,1,1,1
1,2,1,1,3,1,4,0,2,1,0,1,1,2,1,0,1,1,0,2,1,1
0,1,2,1,2,2,4,0,4,3,0,1,2,1,1,0,1,0,1,4,1,2
0,2,5,5,2,4,2,0,3,1,1,1,3,1,1,0,1,0,1,1,2,8
1,3,1,4,1,2,4,0,2,4,0,3,1,3,1,1,1,1,0,3,1,12
0,1,1,1,4,2,3,0,2,1,0,1,1,1,2,1,1,0,1,2,1,3
0,3,1,5,5,4,3,0,3,2,1,1,1,1,1,1,1,0,0,2,1,1
0,2,1,3,1,1,2,0,2,1,2,1,1,1,1,0,1,0,1,1,1,4
0,3,1,2,3,1,2,0,2,1,0,1,2,1,1,1,1,0,1,1,1,5
1,3,2,1,1,4,4,0,2,3,0,1,2,2,1,0,1,0,1,1,3,4
0,1,2,6,1,1,1,0,3,4,1,3,1,1,1,1,1,0,1,2,3,6
1,4,1,1,1,1,4,2,2,2,2,1,1,1,1,0,1,0,1,2,1,2
0,1,1,1,4,2,4,0,2,1,1,1,1,3,1,0,1,0,1,1,2,2
0,3,3,7,1,1,2,0,4,2,0,1,1,2,2,1,1,0,1,3,1,6
0,2,2,4,3,3,1,0,4,1,0,2,2,1,1,0,1,0,0,1,2,6
1,2,2,4,1,2,4,0,4,4,2,3,2,2,1,0,1,1,0,4,3,6
0,1,1,1,4,2,4,0,4,1,0,1,1,1,1,0,1,0,1,2,2,2
0,3,3,3,2,4,4,0,2,3,1,1,1,2,1,0,1,0,1,1,1,2
0,3,3,4,1,2,1,0,2,1,0,1,2,3,1,1,1,0,1,1,2,5
0,1,1,4,2,1,2,0,1,3,0,1,1,1,1,1,1,0,1,2,1,3
1,3,3,2,1,2,4,0,4,4,1,3,2,1,1,1,1,0,1,4,2,2
